"temp","pop","plant","cat_id","date_hatch","date_4","delta_4","time_molt_4","mass_4","ln_4","date_5","delta_5","time_molt_5","mass_5","ln_5","date_w","delta_w","mass_w","ln_w","time_in_5"
"25","F","TB","T","17-Jul-08","24-Jul-08",7,"11:00 AM",159.09,5.07,"27-Jul-08",10,"3:00 PM",1364.11,7.22,"31-Jul-08",14,9702.17,9.180104851,4
"30","F","DC","B","18-Jul-08","27-Jul-08",9,"11:00 PM",158.27,5.06,"29-Jul-08",11,"9:00 PM",1580.42,7.37,"3-Aug-08",16,7935.82,8.979141967,5
"30","F","DC","C","18-Jul-08","27-Jul-08",9,"11:00 PM",189.87,5.25,"29-Jul-08",11,"11:00 PM",1279.37,7.15,"2-Aug-08",15,8094.71,8.998966041,4
"30","F","DC","D","18-Jul-08","27-Jul-08",9,"1:00 PM",171.3,5.14,"29-Jul-08",11,"11:00 PM",1151.47,7.05,"3-Aug-08",16,7864.08,8.970060835,5
"30","F","DC","F","18-Jul-08","28-Jul-08",10,"2:00 AM",144.19,4.97,"30-Jul-08",12,"11:00 PM",1482.13,7.3,"4-Aug-08",17,6593.26,8.793803194,5
"30","F","DC","H","18-Jul-08","26-Jul-08",8,"2:00 AM",164.12,5.1,"28-Jul-08",10,"10:00 PM",1659.71,7.41,"1-Aug-08",14,8592.41,9.058634534,4
"30","F","DC","J","18-Jul-08","26-Jul-08",8,"2:00 AM",170.02,5.14,"28-Jul-08",10,"1:00 AM",2018.95,7.61,"2-Aug-08",15,8050.34,8.993469606,5
"30","F","DC","K","18-Jul-08","26-Jul-08",8,"1:00 AM",183.91,5.21,"28-Jul-08",10,"2:00 AM",1728.2,7.45,"2-Aug-08",15,8258.74,9.019027313,5
"30","F","DC","L","18-Jul-08","26-Jul-08",8,"2:00 AM",156.72,5.05,"28-Jul-08",10,"1:00 AM",1618.68,7.39,"2-Aug-08",15,7649.2,8.942356346,5
"30","F","DC","M","18-Jul-08","26-Jul-08",8,"11:00 PM",197.48,5.29,"28-Jul-08",10,"1:00 AM",1529.38,7.33,"2-Aug-08",15,7168.76,8.877487976,5
"30","F","DC","O","18-Jul-08","25-Jul-08",7,"10:00 PM",190.71,5.25,"26-Jul-08",8,"11:00 PM",1700.54,7.44,"1-Aug-08",14,8157.93,9.006745739,6
"30","F","DC","P","18-Jul-08","26-Jul-08",8,"1:00 PM",190.48,5.25,"28-Jul-08",10,"9:00 PM",1608.24,7.38,"2-Aug-08",15,9172.16,9.123928088,5
"30","F","DC","Q","18-Jul-08","26-Jul-08",8,"9:00 PM",158.22,5.06,"28-Jul-08",10,"3:00 AM",1490.97,7.31,"2-Aug-08",15,7831.54,8.965914449,5
"30","F","DC","R","18-Jul-08","26-Jul-08",8,"9:00 PM",176.75,5.17,"27-Jul-08",9,"11:00 PM",2224.64,7.71,"2-Aug-08",15,7963.27,8.982594999,6
"30","F","DC","S","18-Jul-08","26-Jul-08",8,"2:00 AM",154.07,5.04,"28-Jul-08",10,"9:00 PM",1172.03,7.07,"2-Aug-08",15,8205.63,9.012575783,5
"30","F","DC","T","18-Jul-08","27-Jul-08",9,"10:00 AM",209.83,5.35,"29-Jul-08",11,"11:00 PM",1520.86,7.33,"3-Aug-08",16,8078.14,8.996916927,5
"30","F","DC","U","18-Jul-08","25-Jul-08",7,"11:00 AM",179.02,5.19,"26-Jul-08",8,"11:00 PM",1934.06,7.57,"1-Aug-08",14,9482.6,9.157213819,6
"30","F","DC","V","18-Jul-08","26-Jul-08",8,"10:00 AM",231.11,5.44,"28-Jul-08",10,"1:00 AM",1405.28,7.25,"3-Aug-08",16,8132.64,9.003640873,6
"30","F","DC","W","18-Jul-08","26-Jul-08",8,"1:00 AM",197.13,5.28,"28-Jul-08",10,"2:00 AM",1825.3,7.51,"3-Aug-08",16,7804.56,8.962463457,6
