ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
086,TB,wander,8/8/20,9651.1,Clayton,no,yes,Y,,yes,07/21/2020,1,07/28/2020,37.63,,,,07/31/2020,226.5,08/04/2020,1817.4,,,,,08/08/2020,9651.1,,08/31/2020,4190.59,09/07/2020,1413.99,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087,TB,wander,8/10/20,8499.6,Clayton,no,no,Y,,yes,07/21/2020,1,07/28/2020,46.79,,,,07/31/2020,367.5,08/03/2020,1099.7,,,,,08/10/2020,8499.6,,08/31/2020,3494.89,09/07/2020,1445.48,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,DC,dead,,,Clayton,no,no,S,08/08/2020,no,07/22/2020,1,07/29/2020,50.21,,,,08/01/2020,237.5,08/05/2020,1213.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089,DC,dead,,,Clayton,yes,yes,T,07/31/2020,no,07/22/2020,1,07/29/2020,69.16,07/29/2020,2,07/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090,DC,dead,,,Clayton,yes,no,T,07/30/2020,no,07/21/2020,1,07/29/2020,60.32,07/29/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091,DC,dead,,,Clayton,yes,yes,U,07/31/2020,no,07/22/2020,1,07/29/2020,60.83,07/29/2020,2,07/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092,DC,em,8/14/20,3076.84,Clayton,yes,no,U,,yes,07/22/2020,1,07/29/2020,41.17,07/29/2020,2,,08/01/2020,149.2,08/05/2020,779.3,,,,,,,,,,,,,,08/10/2020,08/14/2020,3076.84,172,20,no,08/17/2020,151,,,,,,,,,,,,,,,,,,,,
093,TB,em,8/14/20,2535.23,Clayton,yes,no,H,,yes,07/22/2020,1,07/29/2020,62.53,07/29/2020,1,,08/02/2020,319.2,08/05/2020,862.4,,,,,,,,,,,,,,08/10/2020,08/14/2020,2535.23,123,0,no,08/16/2020,105,,,,,,,,,,,,,,,,,,,,
094,TB,wowe,8/18/20,1918.1,Clayton,yes,yes,I,,yes,07/23/2020,1,07/29/2020,80.65,07/29/2020,1,07/29/2020,08/02/2020,312.8,08/05/2020,929,08/11/2020,1704.2,,,,,,,,,,,,,,,,,,,,,,08/18/2020,1988.9,,,,,08/28/2020,1908.8,,,,,,,08/29/2020,1918.1,,
095,TB,em,8/14/20,3796.13,Clayton,yes,no,K,,yes,07/23/2020,1,07/29/2020,90.05,07/29/2020,1,,07/31/2020,156.1,08/05/2020,1427.4,,,,,,,,,,,,,,08/10/2020,08/14/2020,3796.13,134,3,no,08/17/2020,130,,,,,,,,,,,,,,,,,,,,bled 8/3
096,TB,dead,,,Clayton,yes,yes,L,07/30/2020,no,07/23/2020,1,07/29/2020,58.62,07/29/2020,2,07/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097,TB,wander,8/10/20,9276.7,Clayton,no,no,M,,yes,07/23/2020,1,07/29/2020,52.80,,,,08/01/2020,200.3,08/06/2020,1643.7,,,,,08/10/2020,9276.7,,08/31/2020,3997.78,09/08/2020,1688.67,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 7/29
098,TB,wander,,,Clayton,yes,yes,N,,yes,07/23/2020,1,07/29/2020,57.80,07/29/2020,2,07/29/2020,08/01/2020,267.9,08/05/2020,1999.1,,,,,,,,,,09/08/2020,1370.4,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099,TB,wander,8/27/20,8454.9,MF,yes,yes,O,,yes,07/24/2020,1,07/29/2020,86.52,07/29/2020,2,07/29/2020,08/02/2020,361.5,08/05/2020,1109.3,,,,,08/08/2020,8454.9,,08/31/2020,3524.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,only one 8/6 - it or 100 - found on floor 8/8
100,TB,wowe mongo,8/8/20,10301.3,MF,yes,no,O,,yes,07/24/2020,1,07/29/2020,86.28,07/29/2020,3,,08/01/2020,318.8,08/05/2020,1916.8,,,,,,,,,,,,,,,,,,,,,,,,,,8/27/2020,10301.3,,,,,,,,,,,08/29/2020,9656.6,,only one 8/6 - it or 99
101,TB,wander,8/13/20,7469.7,MF,no,yes,A,,yes,07/24/2020,1,07/29/2020,40.11,,,07/29/2020,08/02/2020,358.1,08/07/2020,1909.2,,,,,08/13/2020,7469.7,,09/04/2020,3279.36,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TB,wander,8/13/20,9665.2,MF,no,no,A,,yes,07/24/2020,1,07/29/2020,38.94,,,,08/02/2020,337.6,08/07/2020,2550.2,,,,,08/13/2020,9665.2,,09/04/2020,4544.78,09/12/2020,2006.8,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TB,dead,,,MF,yes,yes,BA,07/31/2020,no,07/24/2020,1,07/29/2020,35.37,07/29/2020,2,07/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TB,dead,,,MF,yes,no,BB,07/30/2020,no,07/24/2020,1,07/29/2020,86.96,07/29/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 7/29
105,TB,wowe,8/13/20,1820.5,MF,yes,yes,BC,,yes,07/24/2020,1,07/29/2020,41.25,07/29/2020,1,07/29/2020,08/02/2020,180.2,08/06/2020,774.2,08/13/2020,1827.1,,,,,,,,,,,,,,,,,,,,,,08/21/2020,1820.5,,,,,08/28/2020,1350.3,,,,,,,08/29/2020,1303.8,,bled 8/7
106,TB,dead,,,Clayton,yes,no,BD,07/30/2020,no,07/23/2020,1,07/29/2020,46.26,07/29/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,TB,wander,8/11/20,4682.1,Clayton,no,yes,BE,,yes,07/23/2020,1,07/29/2020,41.12,,,07/29/2020,08/01/2020,296.3,08/05/2020,1191.9,,,,,08/11/2020,4682.1,,08/31/2020,2534.56,09/08/2020,1268.48,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/1
108,TB,quink,,,Clayton,no,no,BF,,yes,07/23/2020,1,07/29/2020,41.29,,,,08/01/2020,200.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quink
109,DC,wander,8/12/20,9527.9,Clayton,no,yes,V,,yes,07/22/2020,1,07/30/2020,74.25,,,07/30/2020,08/02/2020,341,08/06/2020,1857.1,,,,,08/12/2020,9527.9,,09/04/2020,3613.97,09/10/2020,1654.6,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TB,em,8/15/20,2971.55,MF,yes,no,Q,,yes,07/24/2020,1,07/30/2020,91.64,07/30/2020,2,,08/02/2020,225.1,08/06/2020,1092.9,,,,,,,,,,,,,,08/11/2020,08/15/2020,2971.55,103,10,yes,08/17/2020,93,,,,,,,,,,,,,,,,,,,,
111,TB,dead,,,Clayton,yes,yes,R,,yes,07/24/2020,1,07/30/2020,88.99,07/30/2020,2,07/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TB,dead,,,Clayton,yes,no,W,08/06/2020,no,07/24/2020,1,07/30/2020,62.04,07/30/2020,1,,08/02/2020,150.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,TB,dead,,,Clayton,yes,no,X,07/31/2020,no,07/24/2020,1,07/30/2020,68.26,07/30/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 7/30
114,TB,wowe,8/9/20,2331.1,MF,yes,yes,F,08/13/2020,yes,07/24/2020,1,07/30/2020,151.33,07/30/2020,1,07/30/2020,07/31/2020,138.9,08/05/2020,1087,08/09/2020,2331.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead 08/13/2020
115,TB,em,8/14/20,2700.37,MF,yes,no,BH,,yes,07/24/2020,1,07/30/2020,137.75,07/30/2020,1,,08/01/2020,286.5,08/06/2020,1732.8,,,,,,,,,,,,,,08/11/2020,08/14/2020,2700.37,61,5,no,08/16/2020,52,,,,,,,,,,,,,,,,,,,,
116,TB,dead,,,MF,yes,yes,BI,,yes,07/24/2020,1,07/30/2020,77.30,07/30/2020,1,07/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,TB,dead,,,MF,yes,no,BJ,08/09/2020,no,07/24/2020,1,07/30/2020,75.12,07/30/2020,2,,08/02/2020,133.9,08/06/2020,757.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,TB,wander,8/14/20,6322.2,MF,no,yes,BK,,yes,07/24/2020,1,07/30/2020,59.91,,,07/30/2020,08/02/2020,289.5,08/07/2020,1662,,,,,08/14/2020,6322.2,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,TB,wander,8/13/20,7142.3,MF,no,no,BL,,yes,07/24/2020,1,07/30/2020,65.24,,,,08/02/2020,209.7,08/07/2020,1805.5,,,,,08/13/2020,7142.3,,09/04/2020,3401.85,09/09/2020,1377.01,f,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TB,dead,,,MF,yes,yes,BM,07/31/2020,no,07/24/2020,1,07/30/2020,61.29,07/30/2020,1,07/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,TB,dead,,,MF,yes,no,BN,07/31/2020,no,07/24/2020,1,07/30/2020,93.75,07/30/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TB,dead,,,Clayton,yes,yes,L,,yes,07/25/2020,1,07/31/2020,38.31,07/31/2020,1,07/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,TB,wowe mongo,8/27/20,19721.3,Clayton,yes,yes,W,,yes,07/25/2020,1,07/31/2020,39.13,07/31/2020,2,07/31/2020,08/04/2020,284,08/07/2020,899.8,08/13/2020,5452.3,,,,,,,,,,,,,,,,,,,,,,08/20/2020,17359.2,,,,,08/27/2020,19721.3,,,,,,,08/29/2020,18892.7,,
124,TB,dead,,,Clayton,yes,no,BB,08/05/2020,no,07/25/2020,1,07/31/2020,44.17,07/31/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,TB,wander,8/13/20,9039.4,Clayton,yes,no,BD,,yes,07/25/2020,1,07/31/2020,47.53,07/31/2020,1,,08/03/2020,333.1,08/07/2020,2114.3,,,,,08/13/2020,9039.4,,09/04/2020,3800.15,09/11/2020,1499.17,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,TB,wander,8/13/20,8875.9,Clayton,no,yes,BO,,yes,07/25/2020,1,07/31/2020,59.84,,,07/31/2020,08/03/2020,197,08/07/2020,1446.3,,,,,08/13/2020,8875.9,,09/04/2020,4127.49,09/10/2020,1750.81,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,TB,wander,8/12/20,8521.4,Clayton,no,no,BP,,yes,07/25/2020,1,07/31/2020,34.76,,,,08/03/2020,226.2,08/07/2020,1365,,,,,08/12/2020,8521.4,,09/04/2020,4240.53,09/08/2020,1722.78,m,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TB,wowe mongo,8/25/20,9170.1,Clayton,yes,yes,BQ,,yes,07/25/2020,1,07/31/2020,34.94,07/31/2020,2,07/31/2020,08/04/2020,191.5,08/09/2020,1562.2,,,,,,,,,,,,,,,,,,,,,,08/18/2020,8254.7,08/25/2020,9170.1,,,,,,,,,,,,,08/29/2020,9130.4,,
129,TB,em,8/16/20,2332.44,Clayton,yes,no,BR,,yes,07/25/2020,1,07/31/2020,34.77,07/31/2020,1,,08/04/2020,204.9,08/09/2020,1356.7,,,,,,,,,,,,,,08/13/2020,08/16/2020,2332.44,48,0,no,08/19/2020,46,,,,,,,,,,,,,,,,,,,,
130,DC,wander,8/13/20,8262.1,Clayton,no,no,V,,yes,07/23/2020,1,07/31/2020,43.35,,,,08/03/2020,228.7,08/07/2020,1277.5,,,,,08/13/2020,8262.1,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,DC,wowe mongo,8/28/20,14675.9,Clayton,yes,yes,W,,yes,07/15/2020,1,07/31/2020,43.48,07/31/2020,2,07/31/2020,08/05/2020,195.4,08/10/2020,1416.4,08/14/2020,2866.6,,,,,,,,,,,,,,,,,,,,08/21/2020,12416.9,,,,,,,08/28/2020,14675.9,,,,,,,08/29/2020,14469.8,,same bin as 132 8/3
132,DC,em,8/14/20,1745.62,Clayton,yes,no,W,,yes,07/23/2020,1,07/31/2020,30.27,07/31/2020,1,,08/04/2020,218.5,08/07/2020,729.7,,,,,,,,,,,,,,08/11/2020,08/14/2020,1745.62,60,1,no,08/18/2020,60,,,,,,,,,,,,,,,,,,,,same bin as 131 8/3
133,DC,dead,,,Clayton,yes,yes,X,08/01/2020,no,07/22/2020,1,07/31/2020,42.50,07/31/2020,1,07/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 7/31
134,DC,em,8/16/20,1848.64,Clayton,yes,no,X,,yes,07/22/2020,1,07/31/2020,41.15,07/31/2020,2,,08/04/2020,184.7,08/07/2020,464.7,,,,,,,,,,,,,,08/13/2020,08/16/2020,1848.64,90,1,no,08/18/2020,88,,,,,,,,,,,,,,,,,,,,
135,TB,wander,8/13/20,9675.7,Clayton,yes,yes,R,,yes,07/25/2020,1,07/31/2020,62.86,07/31/2020,1,07/31/2020,08/03/2020,343.4,08/08/2020,2124,,,,,08/13/2020,9675.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled8/3
136,TB,em,8/16/20,2882.56,Clayton,yes,no,DB-E,,yes,07/25/2020,1,07/31/2020,73.92,07/31/2020,1,,08/03/2020,210.3,08/09/2020,1373.7,,,,,,,,,,,,,,08/14/2020,08/16/2020,2882.56,114,2,yes,08/19/2020,93,,,,,,,,,,,,,,,,,,,,
137,TB,wander,8/12/20,8906.5,Clayton,no,yes,DC-G,,yes,07/25/2020,1,07/31/2020,83.49,,,07/31/2020,08/02/2020,195.9,08/06/2020,1484.1,,,,,08/12/2020,8906.5,,09/04/2020,4086.88,09/08/2020,2057.28,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,TB,wander,8/11/20,8876.5,Clayton,no,no,DD-G,,yes,07/25/2020,1,07/31/2020,91.50,,,,08/02/2020,192.2,08/06/2020,1342.9,,,,,08/11/2020,8876.5,,08/31/2020,3902.24,09/10/2020,1709.02,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,TB,em,8/18/20,1613.5,Clayton,yes,yes,DE-L,,yes,07/25/2020,1,07/31/2020,92.64,07/31/2020,1,07/31/2020,08/03/2020,309.5,08/07/2020,934.1,,,,,,,,,,,,,,08/15/2020,08/18/2020,1613.5,7,1,no,08/20/2020,7,,,,,,,,,,,,,,,,,,,,bled 8/3
140,TB,em,8/16/20,1890.64,Clayton,yes,no,DF-C,,yes,07/25/2020,1,07/31/2020,59.41,07/31/2020,1,,08/05/2020,295.1,08/09/2020,999.3,,,,,,,,,,,,,,08/13/2020,08/16/2020,1890.64,38,0,no,08/19/2020,38,,,,,,,,,,,,,,,,,,,,
141,TB,dead,,,Clayton,yes,yes,DG,08/11/2020,no,07/25/2020,1,07/31/2020,66.87,07/31/2020,1,07/31/2020,08/04/2020,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,might have missed molt to 4
142,DC,wander,8/15/20,9133.4,Clayton,no,yes,Y,,yes,07/24/2020,1,08/01/2020,53.89,,,08/01/2020,08/04/2020,227.7,08/09/2020,2054.3,,,,,08/15/2020,9133.4,,09/04/2020,3681.65,09/13/2020,1262.8,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,DC,quink,,,Clayton,no,no,Y,,yes,07/23/2020,1,08/01/2020,5.61,,,,08/09/2020,217,08/14/2020,2675.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"quink, missed his molt to 5th"
144,TB,em,8/18/20,1920.46,Clayton,yes,no,U,,yes,07/25/2020,1,08/01/2020,74.50,08/01/2020,1,,08/05/2020,291.8,08/11/2020,1693.3,,,,,,,,,,,,,,08/15/2020,08/18/2020,1920.46,60,2,no,08/22/2020,59,,,,,,,,,,,,,,,,,,,,
145,TB,wowe mongo,8/29/20,12723.6,Clayton,yes,no,X,,yes,07/25/2020,1,08/01/2020,73.72,08/01/2020,2,,08/04/2020,221.6,08/09/2020,1510.6,,,,,,,,,,,,,,,,,,,,,,08/21/2020,9414.3,08/28/2020,12707.9,,,,,,,,,,,,,08/29/2020,12723.6,,might be flipped wth 084
146,TB,wowe mongo,8/25/20,11267.8,Clayton,yes,yes,BA,,yes,07/25/2020,1,08/01/2020,64.53,08/01/2020,1,08/01/2020,08/05/2020,382.4,08/09/2020,1994.3,,,,,,,,,,,,,,,,,,,,,,08/18/2020,10087.4,08/25/20,11267.8,,,,,,,,,,,,,08/29/2020,11045.9,,
147,TB,wowe,8/29/20,1438.3,Clayton,yes,yes,BM,,yes,07/25/2020,1,08/01/2020,77.02,08/01/2020,2,08/01/2020,08/05/2020,326.2,08/11/2020,1079.5,,,,,,,,,,,,,,,,,,,,,,08/18/2020,1183.5,08/25/20,1293.9,,,,,,,,,,,,,08/29/2020,1438.3,,
148,TB,em,8/16/20,2419.23,Clayton,yes,no,BN,,yes,07/25/2020,1,08/01/2020,39.67,08/01/2020,1,,08/05/2020,181.5,08/09/2020,924.7,,,,,,,,,,,,,,08/14/2020,08/16/2020,2419.23,47,0,no,08/19/2020,46,,,,,,,,,,,,,,,,,,,,
149,TB,dead,,,Clayton,yes,no,DH,08/02/2020,no,07/25/2020,1,08/01/2020,56.64,08/01/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/1
150,DC,em,8/16/20,1504.95,Clayton,yes,yes,C,,yes,07/23/2020,1,08/02/2020,26.41,08/02/2020,2,08/02/2020,08/06/2020,132.5,08/09/2020,256.9,,,,,,,,,,,,,,08/14/2020,08/16/2020,1504.95,75,0,no,08/20/2020,75,,,,,,,,,,,,,,,,,,,,swapped with 151
151,DC,wowe,8/24/20,1552.7,Clayton,yes,no,C,,yes,07/23/2020,1,08/02/2020,26.52,08/02/2020,1,,08/06/2020,169.4,08/10/2020,755.1,08/17/2020,1217.7,,,,,,,,,,,,,,,,,,,,08/24/2020,1552.7,08/31/2020,1355,,,,,,,,,,,,,08/31/2020,1355,,swapped with 150
152,DC,wowe mongo,8/24/20,10936.5,Clayton,yes,yes,B,,yes,07/18/2020,1,08/02/2020,120.81,08/02/2020,2,08/02/2020,08/06/2020,573.7,08/10/2020,1977.4,,,,,,,,,,,,,,,,,,,,,,08/17/2020,8603.1,08/24/2020,10936.5,,,,,,,,,,,,,08/29/2020,10660.1,,"Found in bin, rescued 7/29"
153,DC,wowe mongo,8/29/20,12023,Clayton,yes,yes,E,,yes,07/24/2020,1,08/02/2020,52.86,08/02/2020,1,08/02/2020,08/06/2020,201.9,08/10/2020,848.8,08/14/2020,2483.5,,,,,,,,,,,,,,,,,,,,,,,,,,08/21/2020,8722.6,08/28/2020,11232.5,,,,,,,08/29/2020,12023,,
154,TB,dead,,,Clayton,yes,no,DH-B,08/15/2020,yes,07/25/2020,1,08/02/2020,62.14,08/02/2020,2,,08/05/2020,236,08/10/2020,1251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needed help molting 8/10
155,TB,dead,,,Clayton,yes,yes,DI-B,08/15/2020,yes,07/25/2020,1,08/02/2020,60.42,08/02/2020,1,08/02/2020,08/07/2020,293.8,08/11/2020,568.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/11
156,DC,em,8/20/20,2512.69,Clayton,yes,no,E,,yes,07/25/2020,1,08/03/2020,53.47,08/03/2020,1,,08/06/2020,166.9,08/11/2020,1049.1,,,,,,,,,,,,,,08/16/2020,08/20/2020,2512.69,167,0,no,08/21/2020,115,,,,,,,,,,,,,,,,,,,,
157,DC,dead,,,Clayton,yes,yes,F,08/05/2020,no,07/25/2020,1,08/03/2020,44.39,08/03/2020,2,08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,DC,wowe mongo,9/5/20,12873.7,Clayton,yes,yes,H,,yes,07/25/2020,1,08/03/2020,18.11,08/03/2020,1,08/03/2020,08/07/2020,66.9,08/11/2020,333,08/17/2020,1518.2,08/22/2020,3477.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/29/2020,9452.9,09/05/2020,12873.7,09/05/2020,12873.7,,
159,DC,wowe,8/19/20,,Clayton,yes,yes,I,,yes,07/15/2020,1,08/03/2020,82.76,08/03/2020,2,08/03/2020,08/07/2020,210.4,08/12/2020,866,08/19/2020,1287.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/02/2020,1006.8,,,,,,,09/02/2020,1006.8,,
160,DC,em,8/22/20,2452.39,Clayton,yes,no,I,,yes,07/25/2020,1,08/04/2020,37.51,08/04/2020,2,,08/08/2020,141.5,08/12/2020,782.7,,,,,,,,,,,,,,08/18/2020,08/22/2020,2452.39,122,2,no,08/22/2020,111,,,,,,,,,,,,,,,,,,,,
161,DC,em,8/22/20,1543.95,Clayton,yes,no,N,,yes,07/25/2020,1,08/04/2020,29.71,08/04/2020,1,,08/08/2020,168.1,,,,,,,,,,,,,,,,08/18/2020,08/22/2020,1543.95,117,5,no,08/25/2020,113,,,,,,,,,,,,,,,,,,,,
162,DC,em,8/22/20,2083.31,Clayton,yes,no,O,,yes,07/25/2020,1,08/04/2020,45.46,08/04/2020,1,,08/09/2020,267.8,08/13/2020,813.6,,,,,,,,,,,,,,08/19/2020,08/22/2020,2083.31,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/4
163,DC,dead,,,Clayton,yes,no,R,08/14/2020,no,07/25/2020,1,08/04/2020,71.49,08/04/2020,1,,08/08/2020,235.2,08/13/2020,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead 8/14
164,DC,dead,,,Clayton,yes,yes,T,08/06/2020,no,07/25/2020,1,08/04/2020,44.22,08/04/2020,2,08/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,DC,em,8/22/20,1187.69,Clayton,yes,no,T,,yes,07/25/2020,1,08/04/2020,31.03,08/04/2020,1,,08/08/2020,121.7,08/13/2020,946,,,,,,,,,,,,,,08/18/2020,08/22/2020,1187.69,149,1,no,08/25/2020,107,,,,,,,,,,,,,,,,,,,,
166,DC,dead,,,Clayton,yes,yes,Q,08/05/2020,no,07/25/2020,1,08/04/2020,41.46,08/04/2020,1,08/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,DC,wander,8/20/20,9087.1,Clayton,no,yes,A,,yes,07/25/2020,1,08/04/2020,48.36,,,08/04/2020,08/08/2020,228.7,08/13/2020,1861.2,,,,,08/20/2020,9087.1,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/4
168,DC,dead,,,Clayton,no,no,A,,yes,07/25/2020,1,08/04/2020,68.06,,,,08/08/2020,607.2,08/11/2020,1670.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squashed 8/13
169,DC,wander,8/20/20,8780.9,Clayton,no,no,D,,yes,07/25/2020,1,08/04/2020,59.47,,,,08/07/2020,199.1,08/13/2020,1955.7,,,,,08/20/2020,8780.9,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bled 8/4
170,DC,wowe,8/25/20,1420.1,Clayton,yes,yes,U,,yes,07/24/2020,1,08/04/2020,73.36,08/04/2020,3,08/04/2020,08/08/2020,260.8,08/13/2020,1270.8,08/18/2020,1607.4,,,,,,,,,,,,,,,,,,,,,,,,,,08/25/2020,1420.1,09/01/2020,1317.6,,,,,,,,,,
171,DC,wowe,8/21/20,1238.8,Clayton,yes,yes,X,,yes,07/24/2020,1,08/04/2020,94.10,08/04/2020,1,08/04/2020,08/09/2020,415.9,08/14/2020,2120.9,08/30/2020,1048.5,,,,,,,,,,,,,,,,,,,,08/21/2020,1238.8,,,,,,,,,,,,,,,,,09/01/2020,"trouble molting to 6th 8/30, dead 9/1"
172,DC,em,8/25/20,3287.69,MF,yes,no,B,,yes,08/03/2020,1,08/09/2020,32.61,08/09/2020,2,,08/13/2020,228.5,08/18/2020,2119.6,,,,,,,,,,,,,,08/22/2020,08/25/2020,3287.69,247,6,no,08/27/2020,230,,,,,,,,,,,,,,,,,,,,
173,DC,em,8/25/20,1947.78,MF,yes,no,F,,yes,08/03/2020,1,08/09/2020,34.78,08/09/2020,2,,08/13/2020,185.9,08/18/2020,1062.3,,,,,,,,,,,,,,08/22/2020,08/25/2020,1947.78,75,24,no,08/27/2020,64,,,,,,,,,,,,,,,,,,,,same compartment as 175 8/21
174,DC,dead,,,MF,no,no,G,08/11/2020,no,08/02/2020,1,08/09/2020,13.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lost 8/11
175,DC,wowe mongo,9/8/20,15913.3,MF,yes,yes,F,,yes,08/03/2020,1,08/10/2020,83.41,08/10/2020,1,08/10/2020,08/14/2020,209.1,08/19/2020,1947.5,08/25/20,4664.7,,,,,,,,,,,,,,,,,,,,,,,,,,09/01/2020,13899.8,09/08/2020,15913.3,,,,,,,09/08/2020,15913.3,,same compartment at 173 8/21
176,DC,wowe mongo,9/7/20,13212.9,MF,yes,yes,N,,yes,08/03/2020,1,08/10/2020,46.28,08/10/2020,1,08/10/2020,08/14/2020,173.2,08/19/2020,1393.8,08/24/2020,3244.4,,,,,,,,,,,,,,,,,,,,,,,,,,08/31/2020,10101.8,09/07/2020,13212.9,,,,,,,09/07/2020,13212.9,09/07/2020,
177,DC,wowe,9/1/20,1166.6,MF,yes,yes,Q,,yes,08/03/2020,1,08/10/2020,38.20,08/10/2020,1,08/10/2020,08/14/2020,188.7,08/18/2020,612.5,,,,,,,,,,,,,,,,,,,,,,08/25/2020,1078.5,09/01/2020,1166.6,,,,,,,,,,,,,09/01/2020,1166.6,,
178,DC,em,8/28/20,615.55,MF,yes,yes,T,,yes,08/03/2020,1,08/10/2020,33.01,08/10/2020,1,08/10/2020,08/15/2020,266.5,08/18/2020,573.3,,,,,,,,,,,,,,08/24/2020,08/28/2020,615.55,2,0,yes,,0,,,,,,,,,,,,,,,,,,,,
